English,Japanese
CLOCK,『時計』 / (時計・ストップウォッチなどで)…の時間を計る;〈ある時間〉を計る / 靴下(ストッキング)の横につけた刺しゅう飾り
CLONE,"クローン(一個体から無性生殖で増殖した有機体群);(植物の)栄養系,(動物の)分技系"
CLOSE,"…を『閉じる』,閉める(shut) / …をふさぐ(fill) / 〈事務・仕事・話など〉を『終える』,済ませる / 〈通路・施設など〉を一時的に閉じる,の使用を一時中止する / (一つにまとまるように)…をつめる / 〈ドア・目・花などが〉『閉じる』,閉まる;ふさがる / 〈話・相談・契約などが〉『終る』,終了する,〈店などが〉終業(休業)する / くっつく,接近する(come together) / 終結,結末,終り(end) / 締め切り / (音楽の)終止 / (距離・時間・関係が)『近い』,接近している・《名詞の前にのみ用いて》『親密な』,親しい・ぎっしり詰まった,密集した;目のつんだ,きめの細かい・綿密な,厳重な(strict) ・息がつまる,重苦しい(stuffy) / 厳重に隠された,秘密の / ほとんど同等の,匹敵する・《補語にのみ用いて》(金銭が)乏しい;(…に)けちな(stingy)《+『with』+『名』》・(音声が)閉鎖音の(舌を口蓋(こうがい)に近づけて発音する) / (…に)『近接して』,(…の)すぐそば(近く)に;(…に)ぴったりくっついて《+『to(behind, by)』+『名』》 / きっちりと;ぎっしりと・(大寺院の)囲い地;(学校の)構内,校庭・《英》袋小路"
CLOTH,"〈U〉『布』,生地,織物 / 〈C〉(特定の用途に応じる大きさの)『布地』;(特に)テーブル掛け(table cloth),ふきん(dishcloth),ぞうきん(duster) / 〈U〉布表紙,クロース / 〈U〉ラシャ / 〈C〉黒の聖服;《文》《the~》聖職"
CLOUD,"『雲』 / (…の)『雲状のもの』《+『of』+『名』》 / (昆虫・鳥・飛行機などの)大群,大集団《+『of』+『名』》 / (疑惑・苦悩などの)暗い影《+『of』+『名』》 / (鏡・ガラスなどの)くもり / 〈煙などが〉…を『曇らせる』 / 〈事件などが〉…に暗い影を投げかける,を汚す / 〈物・事が〉〈心・頭など〉をぼんやりさせる,混乱させる / 〈空・ガラスなどが〉『曇る』《+『over』(『up』)》 / (悩み・心配などで)〈顔などが〉曇る,暗くなる《+『over』 『with』+『名』》"
CLOUT,"〈C〉《話》手でなぐること / 〈U〉《米話》政治的影響力,実力 / …を手でなぐる"
CLOVE,"チョウジの木(熱帯産の常緑高木) / チョウジの干したつぼみ(香料用) / 小球根,小鱗茎(ユリ・ニンニクなどの親球根から派生した小さな球根) / cleaveの過去形"
CLOWN,"(サーカスなどの)道化,道化役[者] / (集団の中の)おどけ者 / 道化役をする,おどける"
CLUCK,コッコッ(めんどりの鳴き声) / 〈めんどりが〉コッコッと鳴く
CLUMP,"木立ち,やぶ,茂み / (土などの)かたまり;(人などの)集団,(細菌の)群がり《+『of』+『名』》 / 《副詞[句]を伴って》ドスンドスンと歩く / 〈細菌などが〉群がる《+『together』》 / …を群がらせる,かたまりにする"
CLUNG,clingの過去・過去分詞
CLUNK,(物がぶつかり合ったときのにぶい)ガーン(ゴツン)という音
COACH,"(箱形・屋根付き)『大型四輪馬車』;(鉄道以前の)駅馬車 / (sleeping car, parlor carと区別して)普通客車 / 《米》大型バス;《英》長距離バス / (また『coacher』)(競技車・チームなどの)『コーチ』,監督;(野球で)(1塁・3塁の)走塁コーチ;(歌手・俳優などの)指導者;(受験指導の)家庭教師 / 〈米〉(飛行機・列車・バスなどの)普通席 / 〈チーム・学生など〉を『指導する』;…に(…の)指導をする《+『名』+『for』+『名』,+『名』+『in』+『名』(do『ing』)》 / 指導をする,コーチをする"
COAST,"『海岸』,沿岸;海岸地域 / 《the C-》《話》(米国の)太平洋岸[地方],西海岸(West Coast) / (そりなどで滑る)斜面;斜面滑降 / (そりなどで)斜面を滑降する《+『along』》;(…を)滑降する《+『along』+『名』》 / 〈人が〉らくらくと(…を)する《+『through』+『名』》 / 海岸沿いに航行する / …の海岸沿いに航行する"
COATI,ハナグマ(熱帯アメリカに住むアライグマ類の肉食動物)
COBRA,コブラ(アジア産の毒蛇)
COCKY,"(人・態度などが)生意気な,うぬぼれた,気どった"
COCOA,〈U〉ココア / 〈U〉〈C〉(ココア・ミルクなどを混ぜて作った)ココア飲料 / 〈U〉ココア色(焦げ茶色)
CODEX,(古典・聖書の)写本
COLIC,"腹痛,さしこみ"
COLON,"コロン(:)(句読点の一種で,文中においてセミコロン以上を分離を示すほか,対照,例証,引用文などを示すのに用いる) / (大腸の)結腸[部]"
COMBO,コンボ(小編成のジャズまたはダンスの楽団)
COMER,"来る人,来た人 / 《おもに米話》将来有望な人(物)"
COMET,"『慧星』,ほうき星"
COMFY,=comfortable
COMIC,"喜劇の,喜劇的な / こっけいな,おかしな,おどけた / 〈C〉《話》喜劇俳優,コメディアン,こっけいな人 / 〈C〉=comic book / 《複数形で》=comic strip"
COMMA,"(句読点の)『コンマ』(,)"
COMPO,=composition5
CONCH,"(ほら貝など,大型の)巻き貝 / (ローマ神話で)トリトン(Triton)のほら貝"
CONDO,condominum2
CONEY,=cony
CONGA,"コンガ,キューバの踊り;その曲 / コンガの演奏に用いる縦長のドラム"
CONIC,円すい[形]の
COPRA,コプラ(ココヤシの胚乳を乾燥したもの)
COPSE,=coppice
CORAL,"〈U〉サンゴ / 〈C〉サンゴ細工 / 〈U〉サンゴ色,深紅色 / サンゴ[製]の / サンゴ色の,深紅色の"
CORER,(リンゴの)しん抜き器
CORGI,コーギー犬(短足・胴長の小型犬)
CORKY,"コルクの[ような] / 《俗》元気のよい,浮かれた"
CORNY,"陳腐な,古くさい;お涙ちょうだいの"
CORPS,"《しばしばC-》『軍団』,兵団(2個以上の師団(division)から成る陸軍部隊) / 《しばしばC-》(特別な職務を与えられた)部隊 / 団体"
CORSE,=corpse
COSTA,肋(ろっ)骨;肋骨状の部分
COUCH,"(通例,背とひじ掛けのある2‐4人掛けの)『長いす』,ソファー / 診察用ベッド / 《通例受動態で》《副詞[句]を伴って》〈意見など〉を表現する / 《『couch』 one『self』》〈動物が〉うずくまる / (安全・休息・攻撃などのために)〈動物が〉ひそむ,うずくまる,かがむ"
COUGH,"〈C〉『せき』,せき払 / 《a ~》よくせきの出る病気 / 『せきをする』,せき払いする / せきのような音を出す / …をせきをして吐き出す《+『up』(『out』)+『名,』+『名』+『up』(『out』)》"
COULD,canの過去形 / 《直説法過去》 / 《能力》…『することができた』 / 《潜在的傾向》…することがあった / 《従節でcanのすべての用法における時制の一致》 / 《仮定法》 / 《従節で》a)《現在の事実の反対》…『できる[ならば]』:b)(《過去の事実の反対》…『できていた[ならば]』 / 《主節で》a)《現在の事実の反対》…『できるだろうに』:b)《過去の事実の反対》…『できただろうに』 / 《控え目な表現・丁寧な表現》a)《可能性・推量》(平叙文で)もしかすると…かもしれない;(否定文で…のはずがないのだが;(疑問文でいったい…かしら:b《許可の要請》(疑問文で…してもよいでしょうか:c《依頼》(疑問文で…してくださいませんか
COUNT,"(一つ一つ順に)〈数〉を『数える』,〈物〉を数え上げる《+『up』+『名,』+『名』+『up』》 / …を『勘定に入れる』,含める(include) / …を『思う』,みなす(consider) / 数を数える,計算する《+『up』》 / 数にはいる,数に含まれる / 価値がある,重大である / 〈C〉〈U〉『数えること』,『計算』 / 〈U〉総数,総計 / 〈U〉(起訴状の)訴因 / 《the~》(ボクシングで)カウント(選手がノックダウンされたときレフリーが1から10まで数えること) / 〈C〉(野球で打者の)ボールカウント / 〈U〉《話》考慮,注目(account) / (英国以外の)伯爵"
COUPE,=coupé / (御者台が外についている)屋根つき二人乗り四輪馬車
COUPÉ,クーペ型自動車(2‐6人乗りの二つドア自動車)
COURT,"(またcourtyard)〈C〉(建物や壁に囲まれた)『中庭』,方庭;中庭式の区画 / 〈C〉(テニス・バスケットボールなどの)『コート』 / 〈C〉(場末の)路地,袋小路 / 〈C〉〈U〉《しばしばC-》『宮廷』,皇居;《集合的に》廷臣たち / 〈C〉〈U〉『法廷』,裁判所(court of justice);裁判,公判(trial) / 《the~》《集合的に》裁判官,判事 / 〈U〉《まれ》求愛,言い寄り;きげんとり,追従 / 〈有力者など〉のきげんをとる;〈女〉に求愛する / 〈賞賛など〉を求める,得るように努める / 〈災いなど〉を招く〈男女が〉仲よくする"
COVEN,魔女の集会
COVER,"(…で)…の『表面をおおう』,を包む,かぶせる《+『名』+『with』+『名』》 / (範囲が)…に『及ぶ』,わたる,を取り扱う範囲に入れる / 〈ある距離〉を行く,進む(受動態にできない) / …に保険を掛ける / …を報道する,取材する / 〈要塞・砲などが〉を制圧する / (ピストルなどで)〈人〉をねらう《+『名』+『with』+『名』》 / (球技などで)〈相手〉の動きなど〉をふせぐ;〈地域など〉を守る / (…の)代役をする,身代りをする《+『for』+『名』》 / 〈C〉『おおい』,包むもの,カバー;ふた / 〈C〉『表紙』 / 〈U〉隠れ場所,潜伏所 / 〈U〉姿を隠してくれるもの(暗闇,煙など) / 〈C〉(秘密を隠すための)見せかけ / 〈U〉(…の)保険《+『against』+『名』》 / 〈C〉封筒;(郵便小包などの)包装紙 / 〈C〉毛布,ふとん"
COVET,〈他人の物など〉をむやみに欲しがる
COVEY,(ウズラ・雷鳥など親子が群居する)鳥の小さな群れ / (人・物の)群れ《+『of』+『名』》
COWER,"(恐れ・恥ずかしさ・寒さなどのために)すくむ,ちぢみ上がる,震え上がる"
COYPU,コイプー(南アメリカ産の川ネズミ;その毛皮は高価)
COZEN,〈人〉をだます
CRACK,"『割れ目』,ひび,きず;(戸・窓の)わずかの開き / 『パチッ,ピシッ,バン,ガチャッ』(物が壊れたり銃声などの音) / 強い一撃 / (声の)しゃがれ,うわずり;声変り / 《話》瞬間,一瞬 / 気のきいた言葉;皮肉;冗談 / 《話》(…の)機会,試み《+『at』+『名』(do『ing』)》 / …に『ひびを入れる』 / …をパチッと割る,砕く / …をパチッ(ビシッ)と鳴らす / …をピシャリと打つ / 〈声〉をかすれさせる,うわずらせる / 《話》〈家など〉に押し入る;〈金庫など〉を破る / 《話》…を解く;〈暗号など〉を解読する / 《話》〈冗談など〉をとばす / 《話》〈酒びんなど〉をポンとあけて飲む / 〈石油〉を分解蒸留する / 『割れる』,くだける;ひびがはいる / 『パチッ』(『ビシッ,バン,ガチャッ』)『と鳴る』 / 〈声が〉かすれる;うわずる / (疲労・苦痛などに)参る,屈する / 第一級の,優秀な / パチッと"
CRAFT,"〈U〉『技能』,技巧 / 〈C〉手先の技術を要する仕事;工芸 / 〈C〉《集合的に》同業者;同業組合 / 〈U〉(悪い意味で)巧妙さ,悪だくみ / 《集合的に》船,飛行機,宇宙船 / …を手作りで作る,手作りのように丹念に作る"
CRAKE,クイナ類の鳥の総称 / その鳴き声
CRAMP,"〈U〉〈C〉(筋肉の)けいれん,こむらがえり / 《複数形で》急激な腹痛 / …にけいれんを起こさせる / (また『cramp iron』)かすがい / 締め具,締め金 / …をかすがい(締め具)で締めつける / …を拘束する"
CRANE,"ツル(鶴) / 起重機,クレーン / 自在かぎ / (よく見ようとして)〈首〉を伸ばす / 首を伸ばす"
CRANK,"クランク(往復直線運動を回転運動に変えるもの) / 《話》変わり者,奇人 / 《米話》気むずかしい人 / 〈軸〉をクランクで回す / 〈エンジン・映画のカメラなど〉をクランクを回して動かす"
CRAPE,=crepe
CRAPS,(2個のさいころを用いた)サイコロばくち
CRASH,"『ガラガラ』,『ドシン』(物が倒れたり砕けたりするときの音) / (飛行機の)『墜落』;(車の)『衝突』 / (事業・相場などの)崩壊,破産 / 『ガチャン』(『ドシン』,『ガラガラ』)『と大きな音をたてる』 / (…に)ガチャン(ドシン)と衝突する《+『into』(『against』)+『名』》 / 大きな音をたてて動く / 〈飛行機が〉墜落する / 〈事業などが〉つぶれる / (…にぶつけて)…を『ガチャン』(ドシン,『ガラガラ』)『と壊す』《+『名』+『against』(『into, to』)+『名』》 / 〈飛行機・車など〉を衝突させる / 《話》(またgatecrash)(招待状・切符なしで)…に押し掛ける・もぐり込む / 応急の"
CRASS,粗野な;愚鈍な
CRATE,"(果物・ガラス器具・家具などの運送・荷造りに用いる)わく箱,竹かご / …をわく箱(竹かご)に詰める"
CRAVE,"〈人が〉…を『切望する』,ほしがる / 〈物・事情が〉…を必要とする / (…を)『切望する』《+『after』(『for』)+『名』》"
CRAWL,"(腹ばいで)『はう』,はって進む / 〈人・乗物・時間・仕事などが〉『のろのろと進む』 / (はい回む虫などで)うじゃうじゃしている,うようよしている《+『with』+『名』》 / (虫がはっているかのように)むずむずする / 《話》(人に)取り入る《+『into』+『名』》 / 《a ~》はうこと;のろのろ歩き,徐行 / 《通例the ~》クロール泳法"
CRAZE,(…で)〈人〉の気を狂わせる《+『名』+『by』(with)+『名』(do『ing』)》 / (…に対する)一時的な熱中(流行)《+『for』+『名』》
CRAZY,"『狂気の』,気違いの / (物事が)『途方もない』,実行不可能な / 《補語にのみ用いて》『熱中している』,夢中の"
CREAK,"キーキー鳴る,きしる / キーキーという音"
CREAM,"〈U〉『クリーム』(牛乳の上部に溜まる脂肪分) / 〈C〉〈U〉『クリーム菓子』,クリーム製食品,クリーム状の食品 / 〈C〉〈U〉『化粧クリーム』;クリーム状の薬品 / 《the cream》(…の)最上の部分,真髄,粋《+『of』+『名』》 / 〈U〉クリーム色 / 〈牛乳〉からクリームをとる / …をクリーム状にする / 〈野菜・乳〉をクリーム(または牛乳)で煮る"
CREDO,《the Credo》=the Apostles' Creed / 〈C〉=creed 3
CREED,"(宗教上の)信条;信経(しんきょう) / 《the Creed》=the Apostles' Creed / (またcredo)(一般に)信念,主義"
CREEK,《米》『小川』 / 《英》(海・湖などの)小さな入り江
CREEL,"(魚を入れる)びく,やな"
CREEP,"〈動物・昆虫などが〉『はう』,〈赤ん坊などが〉腹ばいにはう / 〈つた・ぶどうのつるが〉『はう』 / 《副詞[句]を伴って》ゆっくり(こっそり)近づく / 《副詞[句]を伴って》〈時間などが〉徐々に過ぎる / (虫がはうように)〈体が〉むずむずする,ぞっとする / 〈C〉『はうこと』,忍び歩き / 《the creeps》《話》ぞっとする感じ / 《俗》(人に取り入ろうと)はいつく回る奴"
CREPT,creepの過去・過去分詞
CRESS,カラシナ類の植物;サラダなどの食用
CREST,"(鳥の)とさか / (かぶとの)前立て,羽根飾り / 山頂,尾根;波がしら;(一般に)絶頂,最上 / 紋章,家紋"
CRICK,"(筋肉の)ひきつけ,けいれん,筋違い / 〈首など〉の筋を違える"
CRIED,cryの過去・過去分詞
CRIER,泣き虫 / (法廷の)呼び出し役 / 呼売り商人;ちんどん屋 / (昔の)町のふれ役
CRIES,cryの三人称単数現在形
CRIME,"〈C〉(事件上の)『犯罪』,罪 / 〈U〉(一般に)犯罪[行為] / 〈C〉《a~》『よくない行為』,ばかげた行為"
CRIMP,〈髪など〉を縮らせる;〈布〉にひだをつける / ひだ / 《複数形で》縮れ毛
CRISP,"(また『crispy』)(菓子・揚げものなどが)『かりかり』(『ぱりぱり』)『した』;(野菜などが)新鮮でぱりぱりした;(紙などが)パリパリと音のする / (空気・天候が)『さわやかな』,身の引き締まるような / (動作・返答・表現などが)『てきぱき』(『きびきび』)『した』 / (毛が)縮れた(curly) / 〈毛など〉を縮らせる / 〈パンなど〉をかりかりに焼く / 〈毛などが〉縮れる / かりかり(ぱりぱり)になる / =potato chip"
CROAK,(蛙・烏などの)カーカー(ガーガー)という鳴き声;(人の)しわがれ声 / (蛙・烏などが)カーカー(ガーガー)と鳴く / (不吉な感じで)しわがれ声で話す / (特に)〈不満なこと〉を低いしわがれ声で話す
CROCK,瀬戸物のつぼ(かめ) / 老いぼれ馬;おんぼろ車 / 老いぼれ
CROFT,(屋敷続きの)小農園;(家畜数頭を飼育する程度の)小牧場 / (小さな)小作地
CRONE,しわくちゃばばあ
CRONY,"親友,旧友,仲よし(chum)"
CROOK,"曲がったもの(道具),かぎ;曲がった部分 / (川・道路などの)屈曲[部],湾曲[部] / (羊飼いが持つ)一端がかぎ状に曲がった杖(羊の後脚を引っ掛けるのに用いる) / 《話》詐欺(さぎ)師,どろぼう / …を屈曲(湾曲)させる,曲げる《+『名』+『up』,+『up』+『名』》 / 屈曲(湾曲)する,曲がる"
CROON,"…を口ずさむ / …を感傷的に口ずさむ,しんみり歌う / 口ずさむ,しんみり歌う / 低く口ずさむこと"
CRORE,1000万(=100lakhs)
CROSS,"〈C〉(昔,罪人のはりつけの刑に用いた)『十字架』 / 《the C-》キリストがはりつけになった十字架;キリスト教の象徴としての十字架 / 〈C〉十字(キリスト教徒が右手で切る) / 〈C〉イエスのために耐える苦しみ,受難 / 〈C〉十字架像;(紋章などの)十字形 / 〈C〉キリスト教信仰;《集合的に》キリスト教徒 / 〈C〉十字記号(crisscross)(+または×) / 〈C〉《修飾語を伴って》十字勲章 / 《『the Cross』》南十字星(the Southern Cross) / 〈C〉(動物・植物の)(…間の)異種交配;雑種《+『between』+『名』+『and』+『名』》 / 〈C〉(ボクシングの)クロスパンチ / (信仰のしるしとして)〈人・自分〉に『十字を切る』 / …を『交差させる』(『する』) / …に『交差させて線を引く』;《英》〈小切手〉に線引きする;…を横線(×印)をつけて消す《+『名』+『out』(『off』),+『out』(『off』)+『名』》 / …を『横切る』,横断する,渡る / 〈心〉をよぎる,にふと浮かぶ / …とすれ違う,行き違う / …を妨げる,のじゃまをする / …を交配する / 『交差する』,交わる / (…へ)『横切る』,渡る《+『over to』+『名』》 / すれ違いになる / 〈動物・植物が〉交配する,雑種になる / おこりっぽい,ふきげんな / (風が)反対の / 十文字に交差した,横切った"
CROUP,クループ(せきや呼吸困難を伴う小児病) / (馬の)しり
CROWD,"(秩序・統制のない)(…の)『群衆』,人ごみ《+『of』+『名』》 / 《the+》『一般大衆』,庶民 / (…の)たくさん寄り集まっているもの《+『of』+『名』》 / 《話》(特定の)グループ,連中 / 『群らがる』,大勢集まる / 《副詞句を伴って》群らがって押し進む(押し寄せる) / (…に)〈人・物〉を『詰め込む』,押し込む《+『名』+『into』+『名』》 / (…で)〈場所〉をいっぱいにする,(…を)…に詰め込む《+『名』+『with』+『名』》 / 《話》せがむ,強要する"
CROWN,"〈C〉(王位の象徴として国王・王妃などがかぶる)王冠・《the~,[the]C-》『王位』,統治権;君主,王,女王 / 〈C〉(古代・中世で国王などから優者に与えられる)(…の)花冠,頭飾り《+『of』+『名』》;(一般に)勝利の栄冠 / 《the~》(…の)絶頂,極致,きわみ《+『of』+『名』》 / 〈C〉(頭・帽子・山・アーチなどの)最も高い部分,頂(いただき) / 〈C〉歯冠;人工歯冠 / 〈C〉《英》クラウン紙幣(英国の旧銀貨);(一般に)王冠をデザインに使った貨幣 / …の頭に王冠をのせる,を王位につける / (栄冠・賞を)…に授ける《+『名』+『with』+『名』》 / 〈物が〉…の頂部[てっぺん]をおおっている / 《『crown』+『名』+『名』》(…として)…を認める / (…を)…に歯冠をかぶせる《+『名』+『with』+『名』》"
CRUDE,"(原材料が)『天然のままの』,未加工の / (製品・作品などが)仕上がりの悪い,荒造りの / (言葉・態度・考え方などが)粗雑な,不作法な / =crude oil"
CRUEL,"(人・行動が)『残酷な』,無慈悲な / 『悲惨な』,むごい"
CRUET,(酢・こしょうなどを入れるガラス製の)薬味(やくみ)入れ / =cruet stand
CRUMB,"《通例複数形で》(食べるときなどこぼれ落ちる)『パンくず』,ケーキのかけら / (…の)少量,わずか《+『of』+『名』》 / パンの中身(パンの皮の内側にあるふかふかした部分) / …にパン粉をまぶす / 〈パンなど〉をぼろぼろにくずす"
CRUSE,(木などを入れる)つぼ
CRUSH,"…を『押しつぶす』,ぺしゃんこにする《+『up』+『名,』+『名』+『up』》 / …を『砕く』,粉々にする;…を砕いて(…に)する《+『名』+『into』+『名』》 / (…に)…を押しつける《+『名』+『against』+『名』》;(…に)…を押し込む《+『名』+『into』+『名』》 / (…から)…を押しつぶして出す,しぼり出す《+『名』+『from』+『名』》 / …をぎゅっと抱きしめる / …を打ちのめす,打ちひしぐ《+『down』+『名,』+『名』+『down』》 / 『つぶれる』,ぺしゃんこになる;くしゃくしゃになる / 『砕ける』,粉々になる / (…に)押し合って入る,殺到する《+『into』(『through』)+『名』》 / 〈C〉《単数形で》押し合いへし合い,殺到 / 〈C〉《話》《単数形で》大混雑の集会,すしづめの集会 / 〈U〉《英》(押しつぶして出した)果汁 / 〈C〉《話》(…に)のぼせ上がること,(…への)べたぼれ《+『on』+『名』》;のぼせ上がった相手"
CRUST,"〈C〉〈U〉『パンの皮』,パイの皮;〈C〉堅くなった一切れのパン / 〈C〉〈U〉(物の)堅い表面;(動物の)甲殻(かく);地殻;堅くなった雪面 / 外皮におおわれる《+『over』》"
CRYPT,"地下室,(特に)教会堂の地下室(小礼拝室・納骨室に用いる)"
CRÈME,濃厚なリキュール酒
CUBIC,"(また『cubical』)立方体の / 立方の,3乗の"
CUBIT,"腕尺(古代の尺度で,ひじから中指の先まどの長さ;45‐56センチ)"
CUMIN,カミン[の実](セリ科の植物;実は調味用・薬用)
CUPPA,1杯のお茶
CURIA,《しばしばD-》ローマ教皇(法王)庁 / 古代ローマの元老院
CURIO,こっとう品
CURLY,(髪が)カールした
CURRY,〈U〉カレー粉 / 〈U〉〈C〉カレー料理 / 〈馬〉をくしで手入れする / 〈なめし皮〉を仕上げる
CURSE,"…を『のろう』;(…のことで)…を『ののしる』,悪口を言う《+『名』+『for』+『名』(do『ing』)》 / (宗教で)〈人〉を破門する / (人を)『ののしる』,(人に)悪態をつく《+『at』+『名』》 / 『のろい』 / 『のろいの言葉』(Damn!, Confound it!, Go to hell!など),悪態(Shit!など) / (…への)『たたり』;災いのもと,やっかいなもの《+『on』+『名』》"
CURST,=cursed
CURVE,"『曲線』 / 『曲がり』,曲がったもの,湾曲部 / (野球で投球の)『カーブ』 / (…の方へ)『曲がる』,湾曲する《+『to』+『名』》 / …を曲げる;を湾曲させる"
CURVY,"曲線の,曲がった / 曲線美の"
CUSHY,"(仕事などが)楽な,容易な,安易な"
CUTUP,"目立ちたがる人,(人の注意を引くために)いたずらをする人"
CYCAD,ソテツ(蘇鉄)
CYCLE,"『周期』,循環期;一巡り / 周波,サイクル / (英雄・伝説などを扱った)一連の詩(物語) / 『自転車』;三輪車;オートバイ / 自転車に乗る / 循環する,反復する"
CYDER,=cider
CYNIC,"(人間の善良さを信じない)皮肉屋,冷笑家 / 《C-》キニク(犬儒)学派の人 / 《the Cynics》キニク(犬儒)学派 / =cynical / 《C-》キニク(犬儒)学派の"
DPHIL,Doctor of Philosophy
DANTE,ダンテ(1265‐1321;イタリアの詩人;「神曲」の作者)
DAVID,ダビデ(イスラエル王で旧約聖書「詩篇」の作者)
DEFOE,デフォー(Daniel~;1659?‐1731;英国の小説家・ジャーナリスト;Robinson Crusoeの作者)
DELHI,デリー(インド北部の連邦政府直轄地;Mogul帝国の旧都)
DIANA,ダイアナ(ローマ神話の月の女神で狩猟・処女性の守護神;ギリシア神話のアルテミスArtemisに当たる)
DIXIE,米国南部諸州の異名(特に南北戦争で南部同盟に参加した州)
DORIC,(古代ギリシア建築が)ドーリア式の / ドーリア人(地方)の
DOVER,ドーバー(英国南東部の海港)
DRUID,ドルイド教の僧侶(キリスト教伝来以前に古代ケルト族の間で信仰されていた宗教の僧)
DUTCH,『オランダの』 / オランダ人(語)の / 〈U〉『オランダ語』 / 《the ~》《集合的;複数扱い》『オランダ人』
DACHA,(ロシアの)いなかの邸宅(別荘)
DADDY,(小児語で)『おとうちゃん』
DAFFY,"ふざけた, ばかげた, とんまな, 正気でない(軽いユーモラスなニュアンス)"
DAILY,"『毎日の』,日々の / 『毎日』,日々(everyday);日ごとに / 日刊新聞(daily paper) / (また『daily help』)《おもに英話》通いのメイド"
DAIRY,"〈C〉『酪農場』,バター・チーズ・クリーム製造所 / 〈C〉『乳製品販売店』《形容詞的に》『dairy cattle』{名}《集合的に》乳牛『dairy farm』{名}〈C〉酪農場"
DAISY,ヒナギク(キク科の多年草または一年草) / 《俗》すてきな人(物)
DALLY,"(考えなどを)もてあそぶ,(人と)ふざける《+『with』+『名』》 / だらだら過ごす《+『about』》;(仕事などに)だらだらとかかっている《+『at』(『over』)+『名』》 / 〈時間〉をだらだら過ごす《『名』+『away』,+『away』+『名』》"
DANCE,"(…に合わせて)『踊る』,舞う,ダンスをする《+『to』+『名』》 / 《副詞[句]を伴って》『こおどりする』,跳ね回る / 〈木の葉・光の影などが〉舞う,揺れる / 〈ダンス〉を踊る / 《副詞[句]を伴って》〈人〉を踊らせる / 〈赤ん坊〉を上下に揺すってあやす / 《副詞[句]を伴って》…を踊って(…のように)する(言う) / 『ダンス』,舞踏;舞踏曲;《the~》踊り方 / 『舞踏会』(dancing party)"
DANDY,"しゃれ男,ダンディ / すてきな物 / すばらしい, 立派な"
DATED,時代遅れの(out-of-date) / 日付のある
DATUM,dataの単数形 / 既知の事実
DAUNT,…をおどす;…をひるませる(discourage)
DAVIT,ダビット(船のボートつり柱)
DEALT,dealの過去・過去分詞
DEARY,かわいい人
DEATH,"〈U〉〈C〉『死』,死亡;死に方,死にざま / 〈U〉死んだ[ような]状態 / 《the~》(…の)絶滅,破滅《+『of』+『名』》 / 《the~》(…の)死の原因,命取り《+『of』+『名』》 / 《通例『D-』》死神(手に鎌(かま)を持った黒装束の骸骨(がいこつ)で表される)"
DEBAR,"(…から)〈人〉を締め出す,除外する(exclude)《+『名』〈人〉+『from』+『名』》 / (…することを)〈人〉に禁ずる,妨げる(prevent)《+『名』〈人〉+『from』 do『ing』》"
DEBIT,"(簿記で)借り方,借り方記入 / (ある金額を)…の借り方に記入する《+『名』+『with』+『名』(=額)》 / (相手に)〈金額〉を借り方として記入する《+『名』〈金額〉+『against』+『名』》"
DEBUG,…の欠陥(誤り)を調べて除く;〈部屋など〉から盗聴装置を取り除く
DECAL,〈U〉ラフレ画法(絵や図案をガラス・金属などに転写する技術) / 〈C〉その絵・図案がかかれた転写紙
DECAY,"『腐る』,朽ちる / 〈繁栄・健康などが〉『衰える』,衰退する;〈活力などが〉低下する / 〈他〉 / …を『腐らせる』 / 『腐敗』;腐朽 / 『衰微』,衰え / (放射性物質の)自然崩壊"
DECOY,"(狩猟で鳥をおびきよせる人工の)おとり / (人をおびきよせる)策略,わな / …をおとりで誘う,おびきよせる"
DECRY,"…を非難する,けなす"
DEFER,"…を『延ばす』,延期する(postpone) / 《『defer to』+『名』》(人・希望・意見などに)従う"
DEFOG,〈自動車などの窓〉の曇り(水滴)を取り除く
DEGAS,…からガスを抜く
DEICE,"〈飛行機・自動車・冷蔵庫など〉の結氷(結霜)を取り去る,結氷(結霜)を防ぐ"
DEIFY,…を神に祀る / …を神様扱いする
DEIGN,《『deign to』 do》〈目上の人が〉もったいなくも(…)してくださる / …を下さる
DEISM,"理神論,自然神教"
DEIST,理神論者
DEITY,"《the D-》神 / 〈U〉神性,神格,神位"
DEKKO,ひと目
DELAY,"…を『延期する』,延ばす / 〈事故などが〉…を『遅らせる』 / 『ぐずぐずする』,『手間取る』 / 『遅れ』,遅延 / 『延期』,猶予"
DELFT,デルフト焼き(オランダのDelft産の陶器;白地に青で採色したものが多い)
DELTA,"デルタ(ギリシア語アルファベットの第4字Δ,δ;英語D,dに相当) / (河口の)三角州,デルタ / 三角形をしたもの"
DELVE,"(…を)探究する,せんさくする《+『into』(『among』)+『名』》"
DEMON,"悪霊;悪魔 / 悪魔(鬼)のように残酷な人;(悪などの)権化 / 《話》(超人的な)精力家,名人,鬼才"
DEMUR,"(…に)異議を唱える,反対する《+『at』(『to』) +『名』(do『ing』)》 / 異議,反対"
DENIM,〈U〉デニム(厚地の綿布) / 〈C〉《複数形で》デニム製作業服
DENSE,"『密度が濃い』,密集した,目の詰まった / 《話》頭の鈍い,のろまな"
DEPOT,"《米》(鉄道の)駅,(バスの)発着所 / (軍隊の)物資集積所 / 置き場,貯蔵所,倉庫 / 《英》連隊本部"
